VECTOR 150
SET 141 7
SET 137 6
SET 63 4
SET 77 7
SET 13 8
SET 93 10
SET 16 6
SET 53 6
SET 107 0
SET 99 2
SET 79 5
SET 24 3
CLEAR 80 4
CLEAR 87 1
SET 115 8
SET 73 0
SET 37 0
SET 142 10
SET 59 3
CLEAR 53 8
SET 119 2
SET 139 9
SET 124 6
CLEAR 0 7
SET 34 8
CLEAR 53 9
SET 57 7
SET 49 5
SET 148 10
CLEAR 130 2
SET 97 5
SET 17 2
CLEAR 72 6
CLEAR 59 0
SET 50 0
SET 2 2
SET 35 8
SET 8 8
CLEAR 19 0
SET 51 0
CLEAR 96 7
CLEAR 53 0
SET 149 8
CLEAR 122 5
CLEAR 0 9
CLEAR 32 6
CLEAR 46 6
SET 42 1
SET 142 10
SET 31 7
SET 101 3
SET 27 9
SET 76 1
SET 127 3
SET 38 10
CLEAR 27 4
SET 6 9
CLEAR 55 1
SET 130 4
CLEAR 4 10
CLEAR 135 0
CLEAR 149 8
SET 22 5
SET 18 6
CLEAR 95 4
CLEAR 122 8
CLEAR 19 3
CLEAR 100 4
CLEAR 85 1
SET 72 6
SET 46 2
SET 72 9
SET 142 10
CLEAR 7 1
SET 36 8
CLEAR 105 10
SET 147 4
SET 125 9
SET 10 5
SET 29 4
CLEAR 89 10
CLEAR 116 2
CLEAR 31 4
SET 22 6
SET 0 7
SET 10 0
SET 53 7
SET 19 10
SET 131 3
SET 112 3
END
