VECTOR 150
SET 104 7
SET 139 5
CLEAR 129 7
SET 1 3
SET 17 8
SET 15 8
SET 76 4
SET 45 3
SET 111 0
SET 51 4
SET 132 0
SET 121 8
SET 73 4
SET 108 0
CLEAR 20 6
CLEAR 118 2
SET 42 5
CLEAR 120 6
SET 143 3
SET 91 9
CLEAR 145 1
SET 14 10
SET 64 8
CLEAR 31 10
SET 143 6
SET 37 6
SET 2 6
CLEAR 59 2
CLEAR 112 2
SET 25 2
SET 125 6
SET 4 9
SET 10 10
SET 100 7
CLEAR 19 8
SET 50 7
CLEAR 117 6
SET 148 10
SET 6 0
SET 133 2
CLEAR 93 2
CLEAR 64 9
SET 134 6
SET 41 3
CLEAR 80 0
SET 26 6
SET 120 3
CLEAR 80 1
SET 73 10
SET 76 10
SET 52 8
SET 107 0
SET 125 4
SET 25 6
CLEAR 43 6
CLEAR 21 8
SET 87 2
CLEAR 34 8
CLEAR 45 4
SET 79 2
CLEAR 146 8
SET 66 4
SET 99 1
SET 84 7
CLEAR 13 10
SET 124 5
CLEAR 50 9
CLEAR 148 6
SET 54 7
CLEAR 15 7
CLEAR 116 1
SET 73 10
CLEAR 62 6
SET 141 4
CLEAR 72 10
CLEAR 147 10
SET 56 10
SET 11 0
SET 61 7
SET 100 10
CLEAR 146 0
SET 109 10
SET 60 2
SET 123 1
CLEAR 65 1
CLEAR 11 4
SET 62 3
SET 60 3
SET 23 5
SET 105 0
END
