VECTOR 150
CLEAR 118 2
SET 137 5
SET 58 3
SET 101 7
SET 23 6
SET 137 2
CLEAR 90 2
SET 39 6
CLEAR 48 0
SET 128 0
CLEAR 119 1
CLEAR 58 5
SET 33 5
CLEAR 140 4
SET 89 7
SET 128 1
CLEAR 102 3
CLEAR 9 9
CLEAR 135 7
CLEAR 36 4
SET 46 8
CLEAR 16 10
CLEAR 35 4
SET 92 4
SET 64 3
SET 57 8
SET 26 3
SET 111 8
SET 98 4
SET 96 5
SET 82 9
SET 72 3
CLEAR 3 10
SET 148 4
SET 56 3
CLEAR 144 4
SET 41 1
SET 84 7
SET 145 6
CLEAR 79 5
SET 72 7
SET 18 2
SET 13 6
CLEAR 75 7
SET 43 7
SET 139 4
SET 144 1
SET 116 4
CLEAR 71 9
CLEAR 31 6
SET 148 7
SET 96 3
CLEAR 91 8
SET 128 1
SET 145 9
CLEAR 90 9
SET 134 7
CLEAR 91 5
SET 108 6
CLEAR 97 5
SET 91 6
SET 118 1
SET 122 8
SET 95 1
SET 123 6
SET 27 3
CLEAR 102 7
CLEAR 53 1
CLEAR 11 4
SET 137 3
SET 24 3
SET 33 2
SET 36 0
CLEAR 102 0
SET 84 5
SET 91 10
SET 143 4
SET 18 2
CLEAR 96 3
SET 114 8
SET 40 9
SET 132 2
SET 72 8
SET 56 1
SET 49 1
CLEAR 27 9
SET 15 5
CLEAR 147 1
SET 89 8
SET 71 3
CLEAR 124 10
CLEAR 84 1
SET 92 9
CLEAR 46 4
CLEAR 57 6
CLEAR 106 2
CLEAR 116 0
CLEAR 17 3
SET 132 5
SET 65 3
SET 22 6
SET 109 8
CLEAR 81 10
SET 138 4
SET 38 0
SET 54 0
CLEAR 72 0
SET 23 7
CLEAR 137 1
SET 46 2
SET 120 9
SET 42 9
SET 26 7
SET 32 9
CLEAR 39 1
SET 50 10
SET 127 1
SET 37 5
SET 73 2
SET 120 6
SET 52 7
SET 95 9
SET 78 7
SET 38 3
SET 0 3
CLEAR 107 7
SET 84 4
CLEAR 13 3
SET 12 0
SET 132 1
CLEAR 6 6
SET 45 5
CLEAR 11 2
SET 58 7
SET 88 2
SET 111 3
SET 128 7
CLEAR 15 7
SET 17 5
SET 47 2
SET 96 6
SET 132 10
SET 138 9
CLEAR 9 4
CLEAR 44 10
CLEAR 25 9
SET 29 6
SET 1 1
SET 141 1
CLEAR 89 0
SET 131 8
SET 38 0
SET 67 8
SET 76 6
SET 7 10
SET 122 3
CLEAR 127 5
CLEAR 5 6
SET 6 1
SET 0 0
SET 33 7
SET 48 0
CLEAR 83 7
SET 70 2
SET 96 9
SET 93 5
SET 63 4
CLEAR 118 0
CLEAR 115 6
SET 51 4
CLEAR 125 10
SET 109 8
SET 108 0
CLEAR 87 8
CLEAR 144 1
SET 117 9
SET 27 6
CLEAR 6 10
CLEAR 146 1
CLEAR 64 5
END
