VECTOR 150
CLEAR 37 1
SET 28 4
CLEAR 86 6
SET 7 0
SET 106 0
SET 139 2
SET 29 10
SET 114 1
CLEAR 142 7
CLEAR 47 0
CLEAR 1 8
SET 96 10
SET 78 4
SET 132 2
SET 21 7
SET 85 1
CLEAR 119 9
CLEAR 67 2
SET 8 1
SET 135 7
CLEAR 20 9
SET 66 5
CLEAR 85 3
CLEAR 114 6
SET 132 7
SET 85 3
SET 89 9
CLEAR 44 2
CLEAR 28 3
CLEAR 132 5
SET 27 10
SET 135 5
SET 6 8
SET 83 0
SET 105 1
SET 41 8
CLEAR 32 3
SET 42 9
SET 96 0
SET 109 7
SET 147 3
SET 0 3
SET 6 9
SET 53 4
SET 11 9
CLEAR 16 7
SET 101 1
SET 134 9
CLEAR 81 6
SET 47 3
CLEAR 124 6
CLEAR 77 1
SET 21 10
CLEAR 122 7
SET 37 9
SET 34 7
SET 9 3
SET 1 10
SET 107 3
SET 64 5
CLEAR 15 9
SET 52 5
SET 49 3
CLEAR 113 7
SET 59 3
CLEAR 110 9
SET 81 3
SET 9 1
SET 114 7
CLEAR 86 0
CLEAR 69 3
SET 4 7
CLEAR 64 8
SET 129 0
SET 96 5
CLEAR 47 5
CLEAR 115 7
SET 133 3
CLEAR 41 8
SET 4 3
CLEAR 107 1
SET 135 6
SET 47 6
CLEAR 136 7
SET 8 10
SET 129 1
SET 50 2
SET 83 2
SET 55 5
SET 84 3
END
