VECTOR 150
CLEAR 111 5
SET 104 8
SET 36 5
SET 121 5
SET 5 4
SET 90 6
CLEAR 126 10
CLEAR 96 6
SET 2 0
SET 38 0
SET 145 0
SET 84 6
CLEAR 3 5
SET 106 9
SET 126 0
SET 52 4
CLEAR 28 3
SET 141 3
SET 146 5
SET 107 1
CLEAR 121 5
SET 94 8
CLEAR 42 0
SET 129 0
CLEAR 111 6
SET 71 1
SET 87 8
SET 121 10
SET 71 10
CLEAR 133 4
SET 6 10
CLEAR 42 1
CLEAR 47 0
SET 24 3
SET 107 8
CLEAR 15 7
SET 60 2
SET 87 10
CLEAR 77 3
CLEAR 137 2
SET 48 10
SET 81 3
SET 99 1
SET 90 5
SET 19 5
CLEAR 37 2
SET 100 10
SET 44 10
CLEAR 104 10
SET 1 10
SET 44 10
CLEAR 43 2
SET 69 5
CLEAR 114 6
SET 73 5
SET 97 3
SET 94 3
CLEAR 48 1
SET 80 2
SET 79 1
CLEAR 71 0
SET 97 10
CLEAR 66 8
SET 145 4
SET 80 6
SET 118 0
SET 32 10
SET 86 1
SET 97 8
SET 85 5
CLEAR 72 9
SET 20 4
SET 139 0
CLEAR 140 10
SET 4 7
SET 39 10
SET 24 5
CLEAR 40 7
SET 46 7
CLEAR 142 8
SET 110 2
CLEAR 79 8
SET 78 1
CLEAR 39 3
SET 2 6
CLEAR 22 3
CLEAR 10 3
SET 138 6
CLEAR 121 1
SET 62 8
END
